"word","count"
"abandoned",2
"action",12
"activity",1
"address",7
"age",9
"alarm",25
"amaral",4
"ambulance",33
"ames",1
"ammunition",1
"anthony",9
"antonio",4
"apt",11
"arlington",1
"armed",4
"arrest",14
"arrests",4
"arrival",1
"arthur",5
"arvd",171
"asack",16
"ash",2
"ashland",4
"ave",34
"baez",18
"bates",1
"battles",1
"belair",1
"belding",1
"bell",3
"bellevue",1
"belmont",2
"besarick",1
"bomb",1
"bosch",22
"boston",2
"braintree",1
"briarcliff",1
"bro",72
"brockton",22
"brunswick",1
"building",1
"burke",13
"burkeside",1
"call",174
"callender",1
"calmar",1
"cancelled",2
"card",1
"caroline",5
"carry",2
"carthy",1
"cary",3
"casieri",1
"casimir",1
"celia",15
"centre",6
"charges",9
"charles",2
"chatham",1
"check",25
"chestnut",4
"christine",22
"christopher",10
"cir",1
"citation",5
"citationwarning",9
"class",1
"clear",9
"clinton",2
"closoing",1
"clrd",185
"coe",1
"cole",3
"colon",10
"colonel",2
"commercial",3
"community",1
"complainant",3
"complaint",1
"connolly",2
"conspiracy",4
"control",6
"coolidge",1
"court",4
"credit",1
"crescent",4
"cronshaw",1
"cummings",1
"custody",1
"damage",3
"damiano",2
"daniel",1
"date",1
"david",35
"davids",1
"default",1
"deiuliis",6
"department",16
"depina",12
"derek",6
"dermott",1
"devine",12
"diane",14
"disp",120
"dispatch",16
"distrib",1
"disturbance",8
"disturbing",1
"donna",1
"douglas",1
"drug",1
"drunk",1
"duplicate",1
"eaton",1
"ecticao",1
"edmund",1
"edward",1
"egan",6
"electric",1
"elliot",1
"ellis",1
"ellsworth",2
"elm",3
"enrt",62
"eric",4
"erik",2
"ernest",1
"ext",1
"falmouth",1
"false",12
"family",1
"farm",1
"farrell",4
"felony",1
"ferebee",2
"field",1
"fields",1
"filed",1
"fire",5
"firearm",2
"foley",1
"for",2
"ford",5
"foreign",1
"forest",3
"francisco",2
"frederick",1
"from",16
"gaucher",8
"giardini",6
"green",2
"guest",4
"gun",1
"gunshots",1
"hammond",1
"hancock",1
"harvard",1
"has",2
"hermer",3
"hill",3
"hilliard",2
"hit",3
"hospital",1
"hot",1
"howard",2
"improper",1
"investigate",5
"investigated",1
"investigation",9
"issued",14
"james",1
"jarrett",2
"jason",12
"jenny",16
"jessica",9
"john",4
"johnson",2
"jon",1
"joseph",1
"julie",3
"justin",18
"juvenile",2
"keane",14
"keep",2
"keith",2
"kennedy",1
"kennelworth",1
"kenneth",6
"kerr",3
"kevin",6
"landry",6
"larceny",6
"liberty",1
"licinio",11
"lieutenant",1
"linda",1
"lindsey",2
"linwood",1
"livingston",1
"loc",7
"local",1
"location",4
"locationaddress",125
"log",32
"lomany",1
"lonergan",1
"lopez",1
"loud",1
"louis",3
"macmillan",5
"made",4
"main",14
"malicious",3
"man",1
"manomet",2
"mark",1
"matter",49
"matthew",9
"michael",33
"minnock",7
"missing",1
"monteiro",1
"montello",7
"montrond",24
"moran",2
"mosley",7
"motor",23
"motorist",1
"murphy",9
"music",1
"mva",6
"narcotic",1
"nazaire",1
"needed",8
"newbury",1
"nighttime",1
"norman",6
"nothing",7
"nulty",5
"oak",5
"oakdale",2
"off",2
"officer",50
"operator",23
"operators",81
"other",38
"over",2
"overdose",3
"package",1
"page",16
"panic",1
"park",4
"parking",2
"patrick",4
"patrolman",194
"paul",1
"peace",3
"pearl",4
"perez",2
"perkins",1
"person",5
"pickup",1
"pine",1
"pires",1
"plain",1
"pleasant",3
"plymouth",2
"police",74
"porcaro",1
"possess",1
"possession",1
"press",16
"printed",16
"prior",1
"prisoner",3
"progress",1
"property",24
"provost",1
"quincy",1
"randolph",4
"reason",1
"receive",2
"refer",9
"regent",1
"regulations",1
"report",20
"repotrespass",4
"reservoir",1
"richard",18
"robbery",5
"robert",31
"rules",1
"run",3
"runaway",1
"ryner",1
"saint",1
"salamone",6
"santos",2
"saquet",1
"scare",1
"schlieman",5
"school",50
"scibetta",8
"scott",11
"see",3
"sergeant",12
"settled",49
"sharon",2
"sheet",1
"shoplifting",2
"smith",18
"spring",2
"stanley",5
"state",5
"stephen",9
"steven",3
"stillman",3
"stolen",2
"stop",16
"structure",1
"sturdevant",3
"summons",4
"suspicious",8
"taken",16
"takenpaper",4
"takenreferred",37
"taker",169
"talbot",1
"telephone",116
"the",6
"theodore",1
"theresa",1
"threats",1
"thru",16
"time",1
"torrey",2
"tow",4
"towed",6
"track",1
"traffic",6
"transfer",36
"transported",1
"trespass",1
"tuesday",1
"turner",1
"uhlman",4
"under",1
"unfounded",7
"uninsured",1
"union",2
"unknown",3
"unlawful",3
"unregistered",1
"unwanted",4
"use",1
"vaughn",1
"vehicle",29
"vellios",7
"verify",1
"vicinity",4
"victor",2
"vilme",16
"violation",3
"walter",1
"warrant",4
"warren",9
"west",3
"westgate",5
"westland",1
"wheeler",1
"white",1
"william",29
"willis",8
"winnifred",1
"with",1
"woodland",1
"woods",1
